current_iteration num_of_predators num_of_preys
1 225 116
2 225 33
3 225 9
4 225 1
5 121 1
6 80 2
7 49 2
8 41 3
9 41 2
10 2 2
11 4 4
12 4 1
13 4 1
14 4 1
15 3 1
16 2 2
17 2 2
18 2 3
19 2 2
20 2 2
21 4 3
22 4 3
23 3 3
24 3 4
25 1 6
26 2 10
27 2 13
28 2 20
29 2 30
30 2 44
31 2 55
32 2 70
33 2 82
34 2 96
35 2 111
36 3 127
37 3 144
38 3 166
39 3 188
40 3 210
41 4 238
42 4 261
43 4 289
44 4 309
45 4 327
46 5 341
47 5 349
48 5 354
49 5 355
50 5 355
51 7 353
52 7 350
53 7 350
54 6 353
55 6 353
56 7 352
57 7 352
58 7 352
59 7 351
60 5 352
61 7 351
62 7 351
63 7 350
64 7 351
65 5 349
66 9 351
67 9 346
68 9 346
69 9 346
70 7 346
71 11 348
72 11 346
73 10 346
74 9 345
75 7 345
76 12 345
77 12 343
78 12 343
79 12 342
80 9 341
81 13 342
82 13 340
83 13 341
84 12 341
85 8 340
86 14 340
87 14 338
88 14 339
89 13 338
90 8 338
91 15 339
92 15 338
93 15 338
94 15 338
95 8 338
96 15 339
97 15 338
98 15 339
99 15 338
100 8 338
101 15 339
102 15 337
103 15 337
104 15 337
105 9 337
106 16 338
107 16 337
108 16 337
109 16 337
110 9 337
111 16 338
112 16 337
113 16 337
114 16 337
115 9 337
116 15 337
117 15 336
118 15 338
119 15 338
120 9 337
121 16 337
122 16 337
123 16 336
124 16 337
125 9 337
126 15 337
127 15 338
128 15 337
129 15 336
130 9 337
131 16 338
132 16 337
133 16 337
134 16 336
135 9 338
136 16 337
137 16 338
138 16 338
139 16 337
140 9 337
141 16 337
142 16 337
143 16 337
144 16 337
145 9 337
146 16 337
147 16 337
148 16 337
149 16 338
150 9 337
151 16 337
152 16 337
153 16 336
154 16 336
155 9 336
156 16 337
157 16 337
158 16 337
159 16 337
160 9 338
161 16 338
162 16 337
163 16 337
164 16 337
165 9 338
166 16 337
167 16 338
168 16 337
169 16 337
170 9 337
171 15 338
172 15 337
173 15 338
174 15 338
175 9 337
176 15 338
177 15 337
178 15 337
179 15 337
180 9 337
181 16 337
182 16 337
183 16 337
184 16 337
185 9 338
186 16 338
187 16 336
188 16 338
189 16 337
190 9 337
191 16 337
192 16 338
193 16 337
194 16 337
195 9 337
196 15 337
197 15 336
198 15 337
199 15 337
200 9 336
201 16 338
202 16 337
203 16 337
204 16 337
205 9 337
206 17 337
207 17 335
208 17 335
209 17 336
210 10 335
211 16 335
212 15 336
213 15 335
214 15 335
215 10 335
216 16 336
217 16 335
218 15 335
219 15 335
220 10 335
221 17 337
222 17 335
223 16 335
224 16 334
225 11 334
226 18 335
227 18 334
228 18 334
229 18 334
230 10 334
231 17 334
232 17 335
233 17 334
234 17 335
235 10 334
236 17 334
237 17 334
238 17 333
239 17 335
240 10 334
241 17 334
242 17 334
243 17 334
244 17 334
245 10 335
246 16 335
247 16 334
248 16 334
249 16 333
250 10 334
251 17 335
252 17 334
253 17 335
254 17 334
255 10 335
256 17 334
257 17 335
258 17 334
259 17 334
260 10 334
261 16 334
262 16 334
263 16 335
264 16 334
265 10 335
266 17 335
267 17 335
268 17 334
269 17 334
270 10 333
271 17 335
272 17 335
273 17 333
274 17 334
275 10 334
276 17 334
277 17 335
278 17 334
279 17 333
280 10 334
281 18 335
282 18 334
283 16 335
284 16 334
285 10 333
286 17 334
287 17 334
288 17 333
289 17 335
290 10 334
291 17 334
292 17 334
293 17 334
294 17 334
295 10 334
296 17 334
297 17 333
298 17 333
299 17 335
300 10 334
301 17 334
302 17 333
303 17 334
304 17 334
305 10 334
306 18 335
307 18 334
308 18 334
309 18 334
310 10 334
311 17 335
312 17 333
313 17 333
314 17 333
315 10 333
316 16 334
317 16 334
318 16 335
319 16 334
320 10 334
321 16 335
322 16 335
323 16 334
324 16 334
325 10 335
326 16 335
327 16 334
328 16 334
329 16 334
330 10 335
331 17 334
332 17 333
333 17 334
334 17 334
335 10 334
336 16 334
337 16 335
338 16 334
339 16 335
340 10 335
341 17 334
342 17 334
343 17 335
344 17 334
345 10 334
346 16 334
347 16 334
348 16 334
349 16 333
350 10 334
351 17 335
352 17 335
353 17 334
354 17 335
355 10 334
356 16 334
357 16 334
358 16 334
359 16 335
360 10 335
361 17 334
362 17 335
363 17 333
364 17 334
365 10 335
366 16 334
367 16 334
368 16 335
369 16 335
370 10 335
371 16 334
372 16 334
373 16 334
374 16 334
375 10 333
376 18 334
377 18 334
378 18 333
379 17 331
380 10 332
381 17 332
382 17 330
383 17 330
384 17 330
385 11 330
386 19 332
387 19 330
388 19 331
389 19 331
390 11 331
391 20 331
392 20 331
393 20 330
394 20 330
395 11 330
396 19 331
397 19 330
398 19 331
399 19 331
400 11 330
401 19 330
402 19 329
403 19 328
404 19 327
405 12 328
406 20 327
407 20 325
408 20 324
409 19 321
410 12 321
411 21 324
412 21 321
413 21 322
414 20 321
415 13 322
416 22 324
417 22 319
418 20 320
419 19 319
420 14 321
421 22 321
422 21 318
423 21 319
424 21 319
425 12 318
426 21 323
427 20 319
428 19 318
429 19 318
430 13 317
431 21 319
432 21 317
433 21 316
434 21 316
435 15 318
436 23 318
437 20 316
438 20 316
439 20 317
440 13 318
441 23 320
442 22 316
443 21 314
444 21 315
445 14 315
446 23 316
447 22 314
448 22 314
449 21 315
450 13 315
451 21 316
452 20 314
453 20 314
454 19 314
455 12 314
456 19 316
457 19 314
458 19 315
459 19 314
460 13 314
461 22 316
462 21 314
463 21 314
464 21 313
465 15 313
466 25 314
467 24 312
468 23 311
469 22 311
470 12 312
471 22 314
472 22 312
473 22 311
474 21 310
475 13 310
476 21 313
477 21 312
478 21 312
479 21 310
480 12 311
481 23 313
482 23 312
483 23 310
484 23 312
485 12 310
486 23 313
487 23 312
488 23 312
489 23 312
490 12 313
491 22 312
492 22 312
493 22 312
494 22 311
495 12 311
496 23 312
497 23 311
498 23 311
499 23 310
500 12 311
501 23 313
502 23 312
503 23 310
504 23 312
505 12 313
506 22 313
507 22 312
508 22 308
509 22 309
510 12 312
511 23 312
512 23 312
513 23 309
514 23 309
515 12 310
516 22 310
517 22 310
518 22 312
519 22 310
520 12 308
521 22 311
522 22 311
523 22 310
524 22 311
525 12 311
526 22 312
527 22 310
528 22 310
529 22 311
530 12 310
531 23 311
532 23 309
533 23 310
534 23 311
535 12 312
536 23 311
537 23 311
538 23 310
539 23 310
540 12 309
541 22 312
542 22 310
543 22 310
544 22 311
545 12 310
546 22 311
547 22 310
548 22 310
549 22 309
550 12 310
551 22 311
552 22 311
553 22 310
554 22 308
555 12 309
556 23 312
557 23 311
558 23 312
559 23 310
560 12 311
561 23 311
562 23 310
563 23 309
564 23 311
565 12 309
566 22 311
567 22 312
568 22 308
569 22 309
570 12 309
571 22 312
572 22 308
573 22 308
574 22 309
575 12 310
576 22 311
577 22 310
578 22 311
579 22 311
580 12 310
581 22 311
582 22 311
583 22 311
584 22 309
585 12 311
586 22 312
587 22 309
588 22 310
589 22 309
590 12 310
591 22 312
592 22 310
593 22 310
594 22 309
595 12 310
596 22 312
597 22 309
598 22 308
599 22 309
600 12 311
601 22 311
602 22 311
603 22 311
604 22 310
605 12 311
606 22 311
607 22 310
608 22 311
609 22 311
610 12 311
611 22 311
612 22 310
613 22 311
614 22 310
615 12 309
616 22 312
617 22 311
618 22 311
619 22 309
620 12 308
621 22 311
622 22 311
623 22 310
624 22 311
625 12 311
626 23 312
627 23 312
628 23 310
629 23 309
630 12 311
631 22 311
632 22 310
633 22 311
634 22 312
635 12 311
636 23 312
637 23 310
638 23 310
639 23 309
640 12 309
641 22 310
642 22 309
643 22 310
644 22 311
645 12 309
646 22 311
647 22 311
648 22 312
649 22 308
650 12 309
651 22 312
652 22 311
653 22 309
654 22 311
655 12 311
656 22 311
657 22 310
658 22 311
659 22 310
660 12 311
661 22 312
662 22 310
663 22 310
664 22 309
665 12 310
666 22 311
667 22 309
668 22 310
669 22 311
670 12 311
671 22 311
672 22 309
673 22 310
674 22 309
675 12 310
676 22 312
677 22 308
678 22 308
679 22 307
680 12 308
681 22 311
682 22 306
683 22 307
684 22 309
685 12 309
686 20 312
687 20 309
688 20 308
689 20 308
690 14 306
691 23 310
692 21 307
693 21 308
694 21 305
695 12 307
696 21 309
697 21 306
698 20 306
699 20 308
700 12 309
701 21 311
702 21 306
703 21 307
704 21 307
705 15 308
706 24 308
707 23 306
708 23 308
709 22 308
710 12 307
711 21 309
712 21 306
713 20 305
714 20 304
715 14 306
716 23 306
717 22 305
718 22 304
719 22 304
720 12 305
721 23 308
722 23 303
723 23 303
724 23 306
725 12 305
726 21 307
727 21 306
728 21 306
729 21 304
730 12 303
731 22 307
732 22 303
733 22 304
734 22 304
735 13 304
736 24 307
737 24 305
738 24 303
739 23 305
740 12 306
741 21 307
742 21 305
743 21 305
744 21 304
745 13 303
746 25 306
747 25 302
748 24 304
749 24 303
750 13 303
751 23 307
752 23 303
753 23 303
754 23 304
755 13 303
756 22 305
757 22 304
758 22 305
759 21 302
760 13 302
761 23 305
762 23 302
763 23 303
764 22 303
765 13 303
766 23 304
767 23 302
768 23 302
769 23 304
770 12 302
771 22 304
772 22 304
773 22 304
774 22 304
775 12 302
776 23 305
777 23 303
778 23 303
779 23 302
780 12 303
781 21 303
782 21 302
783 21 303
784 21 303
785 12 302
786 22 304
787 22 301
788 22 302
789 22 302
790 12 303
791 23 305
792 23 304
793 23 304
794 23 304
795 12 304
796 22 305
797 22 303
798 22 301
799 22 303
800 12 303
801 22 305
802 22 303
803 22 302
804 22 302
805 12 303
806 21 304
807 21 303
808 21 303
809 21 303
810 12 304
811 22 305
812 22 303
813 22 303
814 22 304
815 12 303
816 22 305
817 22 303
818 22 301
819 22 302
820 12 302
821 22 304
822 22 302
823 22 302
824 22 301
825 12 302
826 22 305
827 22 303
828 22 303
829 22 302
830 12 303
831 22 304
832 22 301
833 22 303
834 22 304
835 12 302
836 23 305
837 23 302
838 23 303
839 23 304
840 12 303
841 22 305
842 22 304
843 22 303
844 22 302
845 12 302
846 22 305
847 22 304
848 22 302
849 22 302
850 12 302
851 23 304
852 23 301
853 23 303
854 23 303
855 12 303
856 22 305
857 22 302
858 22 303
859 22 303
860 12 303
861 23 305
862 23 303
863 23 303
864 23 304
865 12 302
866 22 305
867 22 304
868 22 304
869 22 301
870 12 304
871 23 305
872 23 302
873 23 303
874 23 302
875 12 301
876 22 305
877 22 304
878 22 303
879 22 304
880 12 303
881 23 304
882 23 304
883 23 302
884 23 302
885 12 302
886 23 304
887 23 302
888 23 303
889 23 304
890 12 302
891 22 304
892 22 303
893 22 302
894 22 302
895 12 301
896 22 304
